Transaction_ID,Date,Region,Country,Drug_Name,Therapy_Area,Hospital,Doctor_Segment,Sales_Representative,Units_Sold,Revenue,Discount,Manufacturing_Cost,Profit,Marketing_Spend,Inventory,Customer_Type,Quarter,Month
TXN000023,2025-05-03,South,Brazil,Herceptin,Oncology,City Medical Center,Non-Prescriber,Rep_037,166,112747.22,10172.99,33829.83,68744.4,2517.65,186,Hospital,Q2,May
TXN000024,2023-01-05,West,Germany,Avastin,Oncology,Cleveland Partners,Medium Prescriber,Rep_030,161,109724.29,4784.7,36458.18,68481.41,6799.69,112,Government,Q1,January
TXN000025,2025-12-17,West,Germany,Avastin,Oncology,Cleveland Partners,High Prescriber,Rep_016,177,29617.02,1407.31,10657.55,17552.16,1862.19,347,Hospital,Q4,December
TXN000026,2025-05-10,West,Germany,Entresto,Cardiology,Cleveland Partners,Low Prescriber,Rep_030,522,123086.68,6759.69,49427.82,66899.17,2568.03,102,Retail Pharmacy,Q2,May
TXN000027,2023-08-06,Central,UAE,Avastin,Oncology,Apollo Hospital,Low Prescriber,Rep_010,238,94844.28,7159.24,24622.69,63062.35,7298.15,449,Retail Pharmacy,Q3,August
TXN000028,2024-05-30,Central,UAE,Eliquis,Cardiology,Apollo Hospital,Medium Prescriber,Rep_035,310,234954.8,22578.6,99489.21,112886.99,13670.66,410,Online Pharmacy,Q2,May
TXN000029,2025-12-02,North,USA,Trulicity,Diabetes,Mercy General,Low Prescriber,Rep_004,294,85034.13,15306.14,35627.18,34100.81,1819.42,416,Retail Pharmacy,Q4,December
TXN000030,2024-12-29,East,India,Aduhelm,Neurology,Apollo Hospital,Medium Prescriber,Rep_039,174,45505.51,1930.38,18207.8,25367.33,3113.04,495,Online Pharmacy,Q4,December
TXN000031,2023-10-06,South,Brazil,Comirnaty,Vaccines,Apollo Hospital,High Prescriber,Rep_019,147,63054.07,5539.43,19799.6,37715.04,4649.06,225,Online Pharmacy,Q4,October
TXN000032,2025-04-30,South,Brazil,Prevnar,Vaccines,Cleveland Partners,Low Prescriber,Rep_016,311,34976.09,1273.8,12958.23,20744.06,1861.5,145,Hospital,Q2,April
TXN000033,2025-07-23,North,USA,Shingrix,Vaccines,Metro Health,Low Prescriber,Rep_013,268,208099.04,37457.83,80660.44,89980.77,14612.26,440,Online Pharmacy,Q3,July
TXN000034,2023-01-29,North,USA,Jardiance,Diabetes,Sunrise Clinic,Low Prescriber,Rep_025,404,319151.79,57447.32,103677.79,158026.68,13480.5,415,Hospital,Q1,January
TXN000035,2024-03-20,West,Germany,Brilinta,Cardiology,Apollo Hospital,Non-Prescriber,Rep_008,462,137532.5,8308.56,41361.03,87862.91,6094.36,307,Hospital,Q1,March
TXN000036,2023-12-14,West,Germany,Nurtec,Neurology,Apollo Hospital,High Prescriber,Rep_032,135,44705.65,2235.28,18942.67,23527.7,1493.87,483,Hospital,Q4,December
TXN000037,2023-07-22,North,USA,Jardiance,Diabetes,Mercy General,High Prescriber,Rep_003,171,18224.48,3280.41,5161.96,9782.11,601.56,182,Online Pharmacy,Q3,July
TXN000038,2025-01-05,West,Germany,Shingrix,Vaccines,St. Luke's,Non-Prescriber,Rep_028,289,99962.6,3745.89,31701.34,64515.37,3016.95,341,Online Pharmacy,Q1,January
TXN000039,2024-05-16,South,Brazil,Herceptin,Oncology,Mercy General,Medium Prescriber,Rep_010,482,72246.42,2552.76,31651.62,38042.04,3250.97,311,Online Pharmacy,Q2,May
TXN000040,2025-10-12,Central,UAE,Eliquis,Cardiology,Metro Health,Low Prescriber,Rep_027,101,66449.41,6585.76,18611.38,41252.27,3697.77,221,Hospital,Q4,October
TXN000041,2024-05-25,West,Germany,Brilinta,Cardiology,Cleveland Partners,Medium Prescriber,Rep_010,226,149086.72,14905.73,66988.74,67192.25,7950.18,396,Government,Q2,May
TXN000042,2023-01-01,North,USA,Entresto,Cardiology,Apollo Hospital,Low Prescriber,Rep_008,195,98403.04,17712.55,29100.59,51589.9,5933.9,328,Government,Q1,January
TXN000043,2025-02-09,East,India,Entresto,Cardiology,Sunrise Clinic,High Prescriber,Rep_021,446,209933.75,19180.75,69424.37,121328.63,5886.73,62,Retail Pharmacy,Q1,February
TXN000044,2025-02-02,West,Germany,Opdivo,Oncology,Mercy General,Medium Prescriber,Rep_033,278,140686.32,10490.29,50782.57,79413.46,3581.89,376,Online Pharmacy,Q1,February
TXN000045,2023-03-22,Central,UAE,Opdivo,Oncology,City Medical Center,Low Prescriber,Rep_023,219,86363.05,8515.59,30099.56,47747.9,3430.78,335,Government,Q1,March
TXN000046,2024-10-28,East,India,Eliquis,Cardiology,Cleveland Partners,Medium Prescriber,Rep_021,285,51083.37,2220.1,13188.38,35674.89,1539.45,175,Retail Pharmacy,Q4,October
TXN000047,2025-12-05,North,USA,Entresto,Cardiology,Metro Health,Low Prescriber,Rep_017,266,21142.77,3805.7,8666.04,8671.03,1219.39,86,Retail Pharmacy,Q4,December
TXN000048,2024-12-19,Central,UAE,Herceptin,Oncology,St. Luke's,Medium Prescriber,Rep_007,64,47554.0,2212.6,19116.28,26225.12,2466.91,374,Government,Q4,December
TXN000049,2025-03-16,Central,UAE,Brilinta,Cardiology,Apollo Hospital,High Prescriber,Rep_017,118,39289.65,1233.89,12353.29,25702.47,1284.26,197,Hospital,Q1,March
TXN000050,2023-08-21,East,India,Nurtec,Neurology,City Medical Center,Medium Prescriber,Rep_037,193,22231.71,1502.81,8167.22,12561.68,1438.98,244,Retail Pharmacy,Q3,August
TXN000051,2023-11-11,Central,UAE,Nurtec,Neurology,Metro Health,Medium Prescriber,Rep_031,194,24509.35,997.53,7332.99,16178.83,726.48,133,Online Pharmacy,Q4,November
TXN000052,2024-06-26,Central,UAE,Herceptin,Oncology,Metro Health,Medium Prescriber,Rep_030,237,186467.8,7056.45,61454.4,117956.95,14575.86,439,Online Pharmacy,Q2,June
TXN000053,2025-04-26,West,Germany,Jardiance,Diabetes,Apollo Hospital,Low Prescriber,Rep_001,107,21807.47,2131.89,8552.68,11122.9,697.19,381,Retail Pharmacy,Q2,April
TXN000054,2023-05-19,West,Germany,Opdivo,Oncology,Apollo Hospital,High Prescriber,Rep_037,309,120726.6,8257.97,43435.55,69033.08,3875.79,358,Hospital,Q2,May
TXN000055,2023-11-14,West,Germany,Entresto,Cardiology,Mercy General,Non-Prescriber,Rep_022,78,27798.32,2649.34,12458.81,12690.17,897.89,220,Online Pharmacy,Q4,November
TXN000056,2023-09-27,West,Germany,Keytruda,Oncology,St. Luke's,Non-Prescriber,Rep_008,219,49662.37,3693.05,21432.95,24536.37,1935.43,314,Government,Q3,September
TXN000057,2024-02-26,West,Germany,Ozempic,Diabetes,Cleveland Partners,Non-Prescriber,Rep_040,300,113717.55,8008.45,36511.58,69197.52,4945.45,23,Government,Q1,February
TXN000058,2024-01-26,East,India,Brilinta,Cardiology,Mercy General,High Prescriber,Rep_037,340,241050.42,15591.06,96008.5,129450.86,13110.5,498,Government,Q1,January
TXN000059,2024-05-31,West,Germany,Opdivo,Oncology,Sunrise Clinic,High Prescriber,Rep_008,380,116493.3,10191.77,31700.9,74600.63,8246.23,107,Hospital,Q2,May
TXN000060,2023-05-10,South,Brazil,Eliquis,Cardiology,Metro Health,Non-Prescriber,Rep_023,212,124472.47,8953.56,51700.86,63818.05,9652.15,204,Government,Q2,May
TXN000061,2023-05-21,North,USA,Vyepti,Neurology,Apollo Hospital,Non-Prescriber,Rep_004,198,24868.0,4476.24,7490.32,12901.44,1580.75,316,Hospital,Q2,May
TXN000062,2025-10-05,Central,UAE,Vyepti,Neurology,Cleveland Partners,Medium Prescriber,Rep_036,477,287312.93,27411.29,125013.79,134887.85,13518.18,100,Retail Pharmacy,Q4,October
TXN000063,2024-07-20,West,Germany,Opdivo,Oncology,St. Luke's,High Prescriber,Rep_035,366,185167.01,10471.45,73853.85,100841.71,5987.34,404,Government,Q3,July
TXN000064,2024-01-21,South,Brazil,Jardiance,Diabetes,Apollo Hospital,Medium Prescriber,Rep_024,100,49030.12,1583.64,21207.97,26238.51,1710.84,309,Hospital,Q1,January
TXN000065,2024-10-27,South,Brazil,Entresto,Cardiology,Apollo Hospital,Low Prescriber,Rep_040,37,20263.16,860.42,8960.65,10442.09,586.01,236,Hospital,Q4,October
TXN000066,2023-08-03,North,USA,Opdivo,Oncology,City Medical Center,Medium Prescriber,Rep_001,308,123561.55,22241.08,46334.99,54985.48,5271.58,426,Retail Pharmacy,Q3,August
TXN000067,2025-09-14,West,Germany,Entresto,Cardiology,City Medical Center,Non-Prescriber,Rep_010,184,77787.65,6501.1,21049.05,50237.5,3116.31,83,Retail Pharmacy,Q3,September
TXN000068,2023-03-28,Central,UAE,Eliquis,Cardiology,Cleveland Partners,Low Prescriber,Rep_033,196,47121.62,2060.53,16544.48,28516.61,2624.81,202,Online Pharmacy,Q1,March
TXN000069,2025-03-24,North,USA,Avastin,Oncology,St. Luke's,Low Prescriber,Rep_010,432,150287.46,27051.74,57652.83,65582.89,4854.14,181,Government,Q1,March
TXN000070,2025-07-03,West,Germany,Ozempic,Diabetes,Apollo Hospital,Non-Prescriber,Rep_005,94,62329.77,3361.27,18816.4,40152.1,2666.56,25,Hospital,Q3,July
TXN000071,2025-12-12,South,Brazil,Entresto,Cardiology,Metro Health,Low Prescriber,Rep_032,535,407316.89,33991.57,113243.32,260082.0,29370.84,269,Hospital,Q4,December
TXN000072,2024-07-05,South,Brazil,Eliquis,Cardiology,Cleveland Partners,Low Prescriber,Rep_006,140,74730.69,4447.92,20659.69,49623.08,5532.64,361,Retail Pharmacy,Q3,July
TXN000073,2025-07-22,East,India,Ozempic,Diabetes,City Medical Center,High Prescriber,Rep_031,452,159979.1,10370.25,63038.25,86570.6,4222.6,9,Retail Pharmacy,Q3,July
TXN000074,2025-03-31,West,Germany,Keytruda,Oncology,St. Luke's,High Prescriber,Rep_021,102,8692.9,361.97,3456.36,4874.57,217.04,321,Government,Q1,March
TXN000075,2023-07-06,North,USA,Eliquis,Cardiology,Cleveland Partners,Non-Prescriber,Rep_033,95,45106.33,8119.14,15571.16,21416.03,2698.27,471,Retail Pharmacy,Q3,July
TXN000076,2025-08-15,North,USA,Herceptin,Oncology,Mercy General,Low Prescriber,Rep_035,174,54575.99,9823.68,18149.72,26602.59,3399.84,319,Government,Q3,August
TXN000077,2023-04-12,North,USA,Herceptin,Oncology,St. Luke's,High Prescriber,Rep_012,543,174156.62,31348.19,46729.08,96079.35,13068.51,111,Retail Pharmacy,Q2,April
TXN000078,2024-10-22,Central,UAE,Trulicity,Diabetes,St. Luke's,Low Prescriber,Rep_032,286,224633.72,20943.83,85210.98,118478.91,13835.31,73,Retail Pharmacy,Q4,October
TXN000079,2025-09-07,East,India,Shingrix,Vaccines,City Medical Center,Low Prescriber,Rep_029,322,91654.45,3522.88,36313.93,51817.64,2892.24,101,Retail Pharmacy,Q3,September
TXN000080,2024-02-06,West,Germany,Herceptin,Oncology,St. Luke's,Low Prescriber,Rep_023,579,187319.78,12971.41,64852.43,109495.94,13693.06,288,Online Pharmacy,Q1,February
TXN000081,2025-09-08,East,India,Ozempic,Diabetes,St. Luke's,Medium Prescriber,Rep_030,251,130374.05,11996.82,48652.03,69725.2,4429.79,5,Government,Q3,September
TXN000082,2025-11-28,Central,UAE,Brilinta,Cardiology,Mercy General,Low Prescriber,Rep_014,658,229454.82,8356.5,72800.07,148298.25,11782.77,379,Online Pharmacy,Q4,November
TXN000083,2023-10-20,North,USA,Opdivo,Oncology,Apollo Hospital,Non-Prescriber,Rep_037,130,8242.71,1483.69,3688.98,3070.04,376.41,222,Hospital,Q4,October
TXN000084,2023-01-11,North,USA,Brilinta,Cardiology,City Medical Center,Medium Prescriber,Rep_026,192,130246.91,23444.44,38567.91,68234.56,9096.26,104,Hospital,Q1,January
TXN000085,2023-02-23,North,USA,Jardiance,Diabetes,St. Luke's,Low Prescriber,Rep_018,220,156824.67,28228.44,68305.06,60291.17,12498.06,128,Retail Pharmacy,Q1,February
TXN000086,2025-02-19,Central,UAE,Trulicity,Diabetes,Mercy General,Low Prescriber,Rep_025,297,144064.2,5244.52,61298.19,77521.49,5177.09,108,Retail Pharmacy,Q1,February
TXN000087,2025-08-12,Central,UAE,Ozempic,Diabetes,Cleveland Partners,Non-Prescriber,Rep_013,98,23469.71,712.44,9133.07,13624.2,538.09,23,Online Pharmacy,Q3,August
TXN000088,2023-08-12,North,USA,Ozempic,Diabetes,City Medical Center,Non-Prescriber,Rep_040,260,142111.84,25580.13,50983.44,65548.27,10213.52,30,Online Pharmacy,Q3,August
TXN000089,2025-02-19,Central,UAE,Ozempic,Diabetes,City Medical Center,High Prescriber,Rep_031,275,157603.49,12231.58,58899.93,86471.98,10269.92,10,Government,Q1,February
TXN000090,2023-03-23,North,USA,Ozempic,Diabetes,Mercy General,Non-Prescriber,Rep_031,266,14573.98,2623.32,4480.15,7470.51,830.94,39,Retail Pharmacy,Q1,March
TXN000091,2025-10-04,East,India,Brilinta,Cardiology,Metro Health,High Prescriber,Rep_029,265,164504.3,11167.98,72809.34,80526.98,6664.45,334,Retail Pharmacy,Q4,October
TXN000092,2024-12-31,Central,UAE,Vyepti,Neurology,Sunrise Clinic,High Prescriber,Rep_012,294,119123.04,4056.67,31560.33,83506.04,8474.99,495,Online Pharmacy,Q4,December
TXN000093,2023-01-29,East,India,Brilinta,Cardiology,Metro Health,Medium Prescriber,Rep_029,151,44198.86,2837.79,17859.94,23501.13,2696.03,250,Online Pharmacy,Q1,January
TXN000094,2025-06-05,South,Brazil,Brilinta,Cardiology,Apollo Hospital,High Prescriber,Rep_021,190,119627.25,5515.27,33049.06,81062.92,8623.12,483,Government,Q2,June
TXN000095,2024-07-23,South,Brazil,Vyepti,Neurology,Sunrise Clinic,Non-Prescriber,Rep_016,305,67852.12,3047.74,17385.53,47418.85,4010.06,215,Government,Q3,July
TXN000096,2024-06-03,Central,UAE,Keytruda,Oncology,Metro Health,Low Prescriber,Rep_025,285,148104.59,5803.8,37989.6,104311.19,11145.0,327,Retail Pharmacy,Q2,June
TXN000097,2024-06-04,North,USA,Avastin,Oncology,City Medical Center,Non-Prescriber,Rep_013,271,113466.59,20423.99,29823.76,63218.84,6231.39,171,Hospital,Q2,June
TXN000098,2023-12-04,North,USA,Avastin,Oncology,Metro Health,Low Prescriber,Rep_024,552,315322.5,56758.05,133073.81,125490.64,21060.72,67,Hospital,Q4,December
TXN000099,2024-08-14,North,USA,Prevnar,Vaccines,Mercy General,Medium Prescriber,Rep_033,155,32203.14,5796.57,10279.35,16127.22,2143.06,473,Hospital,Q3,August
TXN000100,2023-04-26,Central,UAE,Keytruda,Oncology,City Medical Center,High Prescriber,Rep_003,106,21268.3,1670.06,8811.2,10787.04,477.92,351,Government,Q2,April
TXN000101,2023-08-11,North,USA,Prevnar,Vaccines,Metro Health,Low Prescriber,Rep_007,100,58179.54,10472.32,24679.4,23027.82,3656.31,410,Government,Q3,August
TXN000102,2023-01-22,Central,UAE,Entresto,Cardiology,Cleveland Partners,Low Prescriber,Rep_019,465,278391.85,9942.51,72958.27,195491.07,9695.33,121,Government,Q1,January
TXN000103,2023-11-05,South,Brazil,Aduhelm,Neurology,Mercy General,Low Prescriber,Rep_003,137,58039.61,3997.5,22858.34,31183.77,1956.36,498,Online Pharmacy,Q4,November
TXN000104,2023-12-19,North,USA,Aduhelm,Neurology,Metro Health,Non-Prescriber,Rep_024,179,64785.56,11661.4,27161.29,25962.87,3739.8,380,Retail Pharmacy,Q4,December
TXN000105,2025-05-15,Central,UAE,Entresto,Cardiology,Metro Health,High Prescriber,Rep_012,309,217865.84,20272.23,72842.18,124751.43,7976.0,316,Government,Q2,May
TXN000106,2025-05-16,East,India,Nurtec,Neurology,Mercy General,Medium Prescriber,Rep_014,210,110125.13,6177.95,38821.65,65125.53,4931.61,81,Online Pharmacy,Q2,May
TXN000107,2025-04-17,East,India,Nurtec,Neurology,Apollo Hospital,Non-Prescriber,Rep_036,493,140066.74,8114.52,59051.75,72900.47,2877.23,314,Hospital,Q2,April
TXN000108,2024-09-21,North,USA,Opdivo,Oncology,Mercy General,High Prescriber,Rep_020,202,135675.83,24421.65,45611.16,65643.02,4738.19,327,Online Pharmacy,Q3,September
TXN000109,2023-06-14,North,USA,Aduhelm,Neurology,City Medical Center,High Prescriber,Rep_020,102,59062.0,10631.16,20038.19,28392.65,4243.78,301,Retail Pharmacy,Q2,June
TXN000110,2025-11-09,Central,UAE,Keytruda,Oncology,Apollo Hospital,High Prescriber,Rep_024,255,47177.0,1707.76,12769.01,32700.23,2598.52,359,Government,Q4,November
TXN000111,2025-11-28,North,USA,Shingrix,Vaccines,Metro Health,High Prescriber,Rep_016,190,82972.43,14935.04,28855.27,39182.12,4979.33,112,Retail Pharmacy,Q4,November
TXN000112,2023-05-09,North,USA,Vyepti,Neurology,City Medical Center,Medium Prescriber,Rep_030,147,113558.99,20440.62,34188.22,58930.15,6779.24,490,Retail Pharmacy,Q2,May
TXN000113,2025-01-13,North,USA,Trulicity,Diabetes,Sunrise Clinic,Non-Prescriber,Rep_014,316,42607.03,7669.27,17430.62,17507.14,3200.67,320,Hospital,Q1,January
TXN000114,2025-10-06,East,India,Entresto,Cardiology,St. Luke's,High Prescriber,Rep_038,94,74730.25,6177.95,20034.91,48517.39,2789.02,99,Retail Pharmacy,Q4,October
TXN000115,2024-02-01,Central,UAE,Entresto,Cardiology,Sunrise Clinic,High Prescriber,Rep_012,361,135984.18,11864.4,37265.35,86854.43,7162.2,52,Retail Pharmacy,Q1,February
TXN000116,2023-11-01,South,Brazil,Aduhelm,Neurology,Cleveland Partners,Medium Prescriber,Rep_008,57,27946.89,1167.93,10578.32,16200.64,1832.22,275,Online Pharmacy,Q4,November
TXN000117,2024-10-26,West,Germany,Comirnaty,Vaccines,Metro Health,Medium Prescriber,Rep_021,416,145232.71,10255.18,51807.49,83170.04,8201.92,394,Government,Q4,October
TXN000118,2024-02-03,South,Brazil,Ozempic,Diabetes,Apollo Hospital,Medium Prescriber,Rep_027,253,189959.24,10374.36,51342.97,128241.91,9336.93,13,Hospital,Q1,February
TXN000119,2024-10-31,West,Germany,Entresto,Cardiology,St. Luke's,Low Prescriber,Rep_013,196,49875.73,2940.1,13684.76,33250.87,1539.61,356,Government,Q4,October
TXN000120,2024-03-20,West,Germany,Opdivo,Oncology,Metro Health,Non-Prescriber,Rep_009,448,36986.61,2748.87,16284.49,17953.25,2074.83,418,Retail Pharmacy,Q1,March
TXN000121,2024-11-12,North,USA,Vyepti,Neurology,City Medical Center,Non-Prescriber,Rep_039,208,65533.74,11796.07,19488.04,34249.63,4379.72,173,Retail Pharmacy,Q4,November
TXN000122,2025-09-19,West,Germany,Jardiance,Diabetes,City Medical Center,Non-Prescriber,Rep_007,120,84233.37,5315.33,30077.35,48840.69,2586.53,190,Online Pharmacy,Q3,September
TXN000123,2024-05-23,East,India,Keytruda,Oncology,Cleveland Partners,Low Prescriber,Rep_011,211,32985.8,1623.49,12185.26,19177.05,1997.31,249,Government,Q2,May
TXN000124,2024-07-07,South,Brazil,Jardiance,Diabetes,Sunrise Clinic,Non-Prescriber,Rep_013,224,119608.69,8576.25,39499.28,71533.16,5025.64,204,Hospital,Q3,July
TXN000125,2023-06-09,West,Germany,Nurtec,Neurology,Metro Health,Medium Prescriber,Rep_023,221,156923.11,11857.33,55957.46,89108.32,6192.19,199,Online Pharmacy,Q2,June
TXN000126,2023-04-26,East,India,Entresto,Cardiology,Mercy General,Low Prescriber,Rep_016,229,41558.28,3254.03,12059.66,26244.59,2167.25,93,Online Pharmacy,Q2,April
TXN000127,2023-08-25,South,Brazil,Nurtec,Neurology,Metro Health,High Prescriber,Rep_020,126,98358.56,3088.64,39091.24,56178.68,6503.07,159,Retail Pharmacy,Q3,August
TXN000128,2025-10-09,North,USA,Ozempic,Diabetes,Cleveland Partners,Medium Prescriber,Rep_027,278,21439.44,3859.1,6659.64,10920.7,767.25,17,Hospital,Q4,October
TXN000129,2023-11-07,East,India,Avastin,Oncology,Mercy General,Medium Prescriber,Rep_038,248,158647.33,11140.39,57638.97,89867.97,6895.22,275,Retail Pharmacy,Q4,November
TXN000130,2023-05-14,East,India,Vyepti,Neurology,St. Luke's,Non-Prescriber,Rep_010,177,51665.59,1632.77,14505.54,35527.28,1726.5,480,Hospital,Q2,May
TXN000131,2023-06-13,East,India,Eliquis,Cardiology,Metro Health,High Prescriber,Rep_013,159,24549.36,2280.1,10209.26,12060.0,958.7,478,Hospital,Q2,June
TXN000132,2025-11-01,North,USA,Eliquis,Cardiology,Cleveland Partners,Low Prescriber,Rep_002,230,98809.47,17785.7,33387.95,47635.82,2602.63,338,Online Pharmacy,Q4,November
TXN000133,2025-02-16,South,Brazil,Eliquis,Cardiology,Mercy General,Low Prescriber,Rep_021,336,138919.6,11502.23,51941.98,75475.39,5256.9,243,Hospital,Q1,February
TXN000134,2024-02-04,West,Germany,Herceptin,Oncology,Sunrise Clinic,Medium Prescriber,Rep_037,243,160496.08,11726.7,49954.52,98814.86,9217.89,287,Online Pharmacy,Q1,February
TXN000135,2024-06-02,South,Brazil,Nurtec,Neurology,Metro Health,Low Prescriber,Rep_021,155,63740.05,2701.44,20869.5,40169.11,4960.85,161,Retail Pharmacy,Q2,June
TXN000136,2025-06-19,West,Germany,Brilinta,Cardiology,Apollo Hospital,Non-Prescriber,Rep_018,150,58617.45,5223.11,15804.23,37590.11,2889.52,117,Online Pharmacy,Q2,June
TXN000137,2024-07-07,West,Germany,Aduhelm,Neurology,Apollo Hospital,Non-Prescriber,Rep_029,204,146688.96,14210.26,59758.25,72720.45,5709.78,359,Hospital,Q3,July
TXN000138,2023-08-20,West,Germany,Avastin,Oncology,City Medical Center,High Prescriber,Rep_032,417,300798.07,22429.57,112133.52,166234.98,7218.89,283,Online Pharmacy,Q3,August
TXN000139,2023-03-28,East,India,Aduhelm,Neurology,St. Luke's,Low Prescriber,Rep_036,164,17066.37,597.12,4307.92,12161.33,1320.77,381,Government,Q1,March
TXN000140,2024-06-23,Central,UAE,Prevnar,Vaccines,Mercy General,Low Prescriber,Rep_008,129,86804.21,3021.65,29067.2,54715.36,2166.38,281,Online Pharmacy,Q2,June
TXN000141,2025-08-03,North,USA,Prevnar,Vaccines,Sunrise Clinic,Medium Prescriber,Rep_010,83,20049.49,3608.91,6057.81,10382.77,484.3,481,Hospital,Q3,August
TXN000142,2024-01-09,North,USA,Entresto,Cardiology,St. Luke's,Low Prescriber,Rep_009,327,167546.56,30158.38,47135.49,90252.69,3790.6,99,Hospital,Q1,January
TXN000143,2025-09-11,South,Brazil,Entresto,Cardiology,Cleveland Partners,Low Prescriber,Rep_032,212,54132.82,5141.66,20851.77,28139.39,2693.8,55,Retail Pharmacy,Q3,September
TXN000144,2025-07-31,Central,UAE,Ozempic,Diabetes,Metro Health,Medium Prescriber,Rep_025,334,227620.64,18435.99,92252.25,116932.4,13513.77,11,Retail Pharmacy,Q3,July
TXN000145,2024-06-24,East,India,Vyepti,Neurology,Metro Health,Low Prescriber,Rep_037,149,17716.57,1728.41,6159.68,9828.48,514.5,204,Hospital,Q2,June
TXN000146,2023-01-19,West,Germany,Vyepti,Neurology,Apollo Hospital,Non-Prescriber,Rep_035,310,52897.2,3653.24,21812.18,27431.78,3412.01,446,Online Pharmacy,Q1,January
